trial_id,eval/NHD,eval/SHD,eval/TPR,eval/FDR,eval/PPV,eval/F1,eval/ACC,eval/dagness,eval/roc_auc,eval/time,exp/iter,dset/nodes,dset/samples,hparam/threshold,hparam/force_dag,hparam/batch_size,hparam/max_epochs,hparam/early_stop,hparam/learning_rate,hparam/lambda_reg,hparam/prethreshold,hparam/compute_weights,hparam/joint_learn,hparam/progress_rate,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/threshold,config/force_dag,config/batch_size,config/max_epochs,config/early_stop,config/learning_rate,config/lambda_reg,config/multiplier,config/prethreshold,config/compute_weights,config/joint_learn,config/progress_rate
b2430_00066,2.1719999999999997,217.2,0.009,0.8857142857142858,0.11428571428571428,0.015964316434411777,0.97828,0.0,0.5865738265306122,99.5269735546,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,1.0,0.00033170582735762144,0.08371617087987948,0.3,0.0,0.0,0.25,497.24090814590454,True,,,1,45f4433399c04b4c8bb5c049a2d5b36e,2023-03-29_11-30-06,1680082206,497.24090814590454,117421,hostname,127.0.0.1,497.24090814590454,0,1,0.00429081916809082,"66_early_stop=True,lambda_reg=0.0837,learning_rate=0.0003,max_epochs=1000",0.3,False,256,1000,True,0.00033170582735762144,0.08371617087987948,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00067,4.322,432.2,0.619,0.7358656584156008,0.2641343415843992,0.3686621731148869,0.95678,0.0,0.9219169897959185,106.93591591560008,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,0.0,0.0020661308983671595,0.0019435535087178248,0.3,0.0,0.0,0.25,534.4490149021149,True,,,1,4106d542c3184c6097353d98a3c0b908,2023-03-29_11-30-59,1680082259,534.4490149021149,117434,hostname,127.0.0.1,534.4490149021149,0,1,0.004205226898193359,"67_early_stop=False,lambda_reg=0.0019,learning_rate=0.0021,max_epochs=1000",0.3,False,256,1000,False,0.0020661308983671595,0.0019435535087178246,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00068,4.604,460.4,0.187,0.8878673264734369,0.11213267352656316,0.1387787847199229,0.95396,0.0,0.8687701020408163,534.3187814414,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,1.0,0.00010240479444997013,0.0034476803661070846,0.3,0.0,0.0,0.25,2669.6675958633423,True,,,1,6da3462e56e7456eb0746b379c1a6857,2023-03-29_12-06-38,1680084398,2669.6675958633423,117483,hostname,127.0.0.1,2669.6675958633423,0,1,0.0040280818939208984,"68_early_stop=True,lambda_reg=0.0034,learning_rate=0.0001,max_epochs=5000",0.3,False,256,5000,True,0.00010240479444997011,0.0034476803661070846,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00069,2.23,223.0,0.71,0.5325379160584424,0.4674620839415575,0.5626893928240821,0.9776999999999999,0.0,0.9427156122448981,536.5862549622,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,0.0,0.00062289258691553,0.0046161472597505675,0.3,0.0,0.0,0.25,2681.4687366485596,True,,,1,6e04e652fe9a425d994e6b28ff31b6e6,2023-03-29_12-07-08,1680084428,2681.4687366485596,117406,hostname,127.0.0.1,2681.4687366485596,0,1,0.004812717437744141,"69_early_stop=False,lambda_reg=0.0046,learning_rate=0.0006,max_epochs=5000",0.3,False,256,5000,False,0.00062289258691553,0.0046161472597505675,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00070,0.33999999999999997,34.0,0.953,0.1128185465119869,0.8871814534880131,0.9186463165991642,0.9966000000000002,0.0,0.97746,986.0107443136001,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,1.0,0.007873299888764899,0.0012610217141710307,0.3,0.0,0.0,0.25,4924.573747396469,True,,,1,45f4433399c04b4c8bb5c049a2d5b36e,2023-03-29_12-52-10,1680087130,4924.573747396469,117421,hostname,127.0.0.1,4924.573747396469,0,1,0.00429081916809082,"70_early_stop=True,lambda_reg=0.0013,learning_rate=0.0079,max_epochs=10000",0.3,False,256,10000,True,0.007873299888764899,0.0012610217141710307,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00071,1.436,143.6,0.611,0.34790122807109014,0.6520987719289099,0.6303949134072571,0.9856399999999998,0.0,0.8881538265306123,1052.5516749129997,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,0.0,0.0007467177520976816,0.011708217040406138,0.3,0.0,0.0,0.25,5259.019069433212,True,,,1,4106d542c3184c6097353d98a3c0b908,2023-03-29_12-58-38,1680087518,5259.019069433212,117434,hostname,127.0.0.1,5259.019069433212,0,1,0.004205226898193359,"71_early_stop=False,lambda_reg=0.0117,learning_rate=0.0007,max_epochs=10000",0.3,False,256,10000,False,0.0007467177520976816,0.011708217040406138,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00072,2.0319999999999996,203.2,0.002,0.9416666666666668,0.05833333333333333,0.003864824495892457,0.9796800000000001,0.0,0.5975886224489795,101.24015938419998,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,1.0,0.00014188608687515424,0.06277145306573244,0.3,0.0,0.0,0.25,505.5389153957367,True,,,1,b9e81b4513bd4f97b2459db87415853b,2023-03-29_11-51-49,1680083509,505.5389153957367,117489,hostname,127.0.0.1,505.5389153957367,0,1,0.004508256912231445,"72_early_stop=True,lambda_reg=0.0628,learning_rate=0.0001,max_epochs=1000",0.3,False,256,1000,True,0.00014188608687515424,0.06277145306573244,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00073,3.6159999999999997,361.6,0.10200000000000001,0.8906793165201939,0.10932068347980602,0.1003709959846412,0.9638399999999999,0.0,0.8664529591836736,95.77820600980003,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,0.0,0.0005403587909944501,0.007149026067592506,0.3,0.0,0.0,0.25,478.30513191223145,True,,,1,26e0b579c58f44efbfaec9193de9b74d,2023-03-29_11-51-38,1680083498,478.30513191223145,117412,hostname,127.0.0.1,478.30513191223145,0,1,0.0043621063232421875,"73_early_stop=False,lambda_reg=0.0071,learning_rate=0.0005,max_epochs=1000",0.3,False,256,1000,False,0.0005403587909944501,0.007149026067592507,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00074,1.296,129.6,0.564,0.2739146210612245,0.7260853789387756,0.6343069983001778,0.98704,0.0,0.7753888775510205,483.1944746947999,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,1.0,0.09930718944284196,0.00737633289570762,0.3,0.0,0.0,0.25,2412.6898584365845,True,,,1,37d4bc44d0f149068cc1bbb948e90f65,2023-03-29_12-24-15,1680085455,2412.6898584365845,117500,hostname,127.0.0.1,2412.6898584365845,0,1,0.0052051544189453125,"74_early_stop=True,lambda_reg=0.0074,learning_rate=0.0993,max_epochs=5000",0.3,False,256,5000,True,0.09930718944284196,0.00737633289570762,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00075,2.3619999999999997,236.2,0.024000000000000004,0.9087907881564332,0.0912092118435668,0.0379218262141118,0.97638,0.0,0.713129081632653,477.7747865970002,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,0.0,0.00011952390912648838,0.025151850389176965,0.3,0.0,0.0,0.25,2385.8865835666656,True,,,1,79eef743f0a54b1689f8d8ff92d44aa9,2023-03-29_12-24-00,1680085440,2385.8865835666656,117398,hostname,127.0.0.1,2385.8865835666656,0,1,0.003748655319213867,"75_early_stop=False,lambda_reg=0.0252,learning_rate=0.0001,max_epochs=5000",0.3,False,256,5000,False,0.00011952390912648837,0.02515185038917697,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00076,0.71,71.0,0.8160000000000001,0.17087654938721702,0.829123450612783,0.8221616099476388,0.9929,0.0,0.8953036224489797,977.4418107451999,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,1.0,0.042541434705568155,0.0024396675256184094,0.3,0.0,0.0,0.25,4880.4685270786285,True,,,1,087edbd3d2d54dc794c65404fb92a8b4,2023-03-29_13-05-55,1680087955,4880.4685270786285,117400,hostname,127.0.0.1,4880.4685270786285,0,1,0.003362894058227539,"76_early_stop=True,lambda_reg=0.0024,learning_rate=0.0425,max_epochs=10000",0.3,False,256,10000,True,0.042541434705568155,0.0024396675256184094,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00077,0.8300000000000001,83.0,0.742,0.16861189683021227,0.8313881031697876,0.7830867538291734,0.9917,0.0,0.9218791836734695,955.3103625685999,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,0.0,0.002615715515717913,0.008467424980159299,0.3,0.0,0.0,0.25,4770.042267084122,True,,,1,8bb3a597743d4345861b7e4e24949157,2023-03-29_13-04-23,1680087863,4770.042267084122,117450,hostname,127.0.0.1,4770.042267084122,0,1,0.003834247589111328,"77_early_stop=False,lambda_reg=0.0085,learning_rate=0.0026,max_epochs=10000",0.3,False,256,10000,False,0.002615715515717913,0.008467424980159299,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00078,4.642,464.2,0.14900000000000002,0.8997262652908928,0.10027373470910714,0.11644641948401113,0.95358,0.0,0.8644482142857143,94.4363302568,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,1.0,0.0004755289494024663,0.002943825798930741,0.3,0.0,0.0,0.25,471.6729664802551,True,,,1,782eafb5d31440f2846491d96223a67a,2023-03-29_11-52-48,1680083568,471.6729664802551,117487,hostname,127.0.0.1,471.6729664802551,0,1,0.004658699035644531,"78_early_stop=True,lambda_reg=0.0029,learning_rate=0.0005,max_epochs=1000",0.3,False,256,1000,True,0.0004755289494024663,0.002943825798930741,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00079,2.54,254.0,0.041,0.8976223391547684,0.10237766084523159,0.05500728546709457,0.9746,0.0,0.6737106122448979,96.10192908659992,2.0,100.0,1000.0,0.3,0.0,256.0,1000.0,0.0,0.0013943502938160563,0.04533037263075211,0.3,0.0,0.0,0.25,480.07348012924194,True,,,1,48b3b74ea88b43dc9d03062ee2aa3029,2023-03-29_11-53-37,1680083617,480.07348012924194,117477,hostname,127.0.0.1,480.07348012924194,0,1,0.0058650970458984375,"79_early_stop=False,lambda_reg=0.0453,learning_rate=0.0014,max_epochs=1000",0.3,False,256,1000,False,0.0013943502938160563,0.04533037263075211,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00080,5.24,524.0,0.399,0.8320261603823773,0.1679738396176227,0.23539400020650256,0.9475999999999999,0.0,0.8901472448979592,486.3255686282003,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,1.0,0.0001654865463411778,0.0007760283478611708,0.3,0.0,0.0,0.25,2429.339275121689,True,,,1,e3675b881f6b4c388207a98e5086e20f,2023-03-29_12-26-35,1680085595,2429.339275121689,117449,hostname,127.0.0.1,2429.339275121689,0,1,0.0042459964752197266,"80_early_stop=True,lambda_reg=0.0008,learning_rate=0.0002,max_epochs=5000",0.3,False,256,5000,True,0.0001654865463411778,0.0007760283478611708,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00081,3.042,304.2,0.6,0.6494482701326202,0.3505517298673797,0.44145194121471104,0.96958,0.0,0.9209678571428572,485.6456594553998,2.0,100.0,1000.0,0.3,0.0,256.0,5000.0,0.0,0.0004560173805477624,0.0068362138954509615,0.3,0.0,0.0,0.25,2425.4131083488464,True,,,1,c3c0e2f9ec274070867bd3965770224e,2023-03-29_12-26-33,1680085593,2425.4131083488464,117502,hostname,127.0.0.1,2425.4131083488464,0,1,0.006086587905883789,"81_early_stop=False,lambda_reg=0.0068,learning_rate=0.0005,max_epochs=5000",0.3,False,256,5000,False,0.0004560173805477624,0.0068362138954509615,"[10.0, 1000.0]",0.3,False,False,0.25
b2430_00082,0.514,51.4,0.8400000000000001,0.1027250536929644,0.8972749463070355,0.8675805642735668,0.9948600000000001,0.0,0.9532180612244897,964.2268304813999,2.0,100.0,1000.0,0.3,0.0,256.0,10000.0,1.0,0.013615421056352611,0.00504737392796219,0.3,0.0,0.0,0.25,4816.450486898422,True,,,1,c8fd3cc6006140abbee139065a44ec18,2023-03-29_13-06-27,1680087987,4816.450486898422,117425,hostname,127.0.0.1,4816.450486898422,0,1,0.004538536071777344,"82_early_stop=True,lambda_reg=0.0050,learning_rate=0.0136,max_epochs=10000",0.3,False,256,10000,True,0.013615421056352613,0.00504737392796219,"[10.0, 1000.0]",0.3,False,False,0.25
